country_name,country_code,indicator_name,indicator_code,debt_2021,debt_2022,total_debt2023
Albania,ALB,"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD,136074.2,1023957.3,23465.2
Albania,ALB,"PPG, bonds (AMT, current US$)",DT.AMT.PBND.CD,86377547.6,0,0
Algeria,DZA,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,146600395.7,160969023.6,152121502.8
Algeria,DZA,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,98497637.9,106694216,88714702.8
Algeria,DZA,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,35179651.5,62464299.8,63732136.4
Algeria,DZA,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,45980000,53510000,63406800
Algeria,DZA,"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD,63317986.4,44229916.2,24982566.4
Algeria,DZA,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,22362620.9,17834891.8,19007483.5
Algeria,DZA,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,710000,,10285000
Algeria,DZA,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,21641971.6,17830677.9,8722483.5
Algeria,DZA,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,70300000,52650000,7739287.6
Algeria,DZA,"PPG, bilateral (DIS, current US$)",DT.DIS.BLAT.CD,0,0,7739287.6
Algeria,DZA,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,0,0,7739287.6
Algeria,DZA,"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD,17574867.8,15094156.3,6392042.6
Algeria,DZA,"PPG, bilateral (INT, current US$)",DT.INT.BLAT.CD,4067103.8,2736521.6,2330440.9
Algeria,DZA,"PPG, private creditors (AMT, current US$)",DT.AMT.PRVT.CD,2122757.8,764807.6,764807.6
Algeria,DZA,"PPG, commercial banks (AMT, current US$)",DT.AMT.PCBK.CD,1823394.6,498283.8,498283.8
Algeria,DZA,"PPG, other private creditors (AMT, current US$)",DT.AMT.PROP.CD,299363.2,266523.8,266523.8
Algeria,DZA,"PPG, other private creditors (INT, current US$)",DT.INT.PROP.CD,10649.3,4213.9,4213.9
Algeria,DZA,"PPG, private creditors (INT, current US$)",DT.INT.PRVT.CD,10649.3,4213.9,4213.9
Algeria,DZA,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,0,0,0
Algeria,DZA,"PPG, commercial banks (INT, current US$)",DT.INT.PCBK.CD,0,0,0
Algeria,DZA,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,0,0,0
Algeria,DZA,"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD,0,0,0
Algeria,DZA,"PPG, private creditors (DIS, current US$)",DT.DIS.PRVT.CD,0,0,0
Algeria,DZA,"PPG, bonds (AMT, current US$)",DT.AMT.PBND.CD,,,
Algeria,DZA,"PPG, bonds (INT, current US$)",DT.INT.PBND.CD,,,
Angola,AGO,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,7573707431,12563699803,9075576278
Angola,AGO,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,6194412360,7603624832,8405284822
Angola,AGO,"PPG, private creditors (AMT, current US$)",DT.AMT.PRVT.CD,6314984509,5066114208,6458045139
Angola,AGO,"PPG, commercial banks (AMT, current US$)",DT.AMT.PCBK.CD,3259562756,3713006358,5049054460
Angola,AGO,"PPG, private creditors (DIS, current US$)",DT.DIS.PRVT.CD,5154823989,6475555219,4875680873
Angola,AGO,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,2706374989,3342603219,4029035263
Angola,AGO,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2235707412,2525062876,3813134392
Angola,AGO,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,1039588371,1128069614,3529603948
Angola,AGO,"PPG, bilateral (DIS, current US$)",DT.DIS.BLAT.CD,97391481.2,235354540.6,3103769114
Angola,AGO,"PPG, private creditors (INT, current US$)",DT.INT.PRVT.CD,1989462051,2146161860,2861367628
Angola,AGO,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,442555921.8,1147691595,1939127869
Angola,AGO,"PPG, commercial banks (INT, current US$)",DT.INT.PCBK.CD,1119519371,1245643243,1856330628
Angola,AGO,"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD,307754601.4,984813920.8,1761834522
Angola,AGO,"PPG, other private creditors (AMT, current US$)",DT.AMT.PROP.CD,3055421753,717520849.2,1408990679
Angola,AGO,"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD,2448449000,1382952000,846645609.7
Angola,AGO,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,139813361.1,330435015.8,841714764
